id,text,lat,lon
2896,St Giles',55.9493396,-3.1905294
2897,Princes Street Gardens,55.9497435,-3.2019502
2898,Princes Street,55.9526,-3.193
2899,South Bridge,55.9487,-3.1868
2900,Liberton,55.9130118,-3.1662543
2929,Ivy Cottage,55.932513,-3.655836
2937,The Grosvenor,55.949853,-3.2092931
2998,Linlithgow Palace,55.978079,-3.600952
3002,Holyrood Abbey,55.953122,-3.171594
3003,St. Giles' Cathedral,55.9493396,-3.1905294
3004,Queen's Drive,55.9515,-3.1664
3006,Lasswade,55.8834098,-3.1141952
3008,Rockville,56.016483,-2.72457
3275,York Lodge,55.977335,-3.202646
3314,Lord Nelson,55.9738045,-3.1858283
3320,Parliament Square,55.9495,-3.1902
3429,Broughton,55.9614308,-3.1873332
3567,National Monument,55.9549011,-3.1820043
3571,Craigmillar Castle,55.9256551,-3.1407527
3574,Crown Room,55.948182,-3.199372
3581,Castle Hill,55.9489,-3.1954
3583,Netherbow,55.950621,-3.184278
3588,Baxter's Close,55.949496,-3.193648
3595,Dunbar's Close,55.951718,-3.17879
3596,Anchor Close,55.950306,-3.189765
3597,Strichen's Close,55.950159,-3.186398
3601,Abbey Sanctuary,55.952857,-3.173892
3605,Holyrood Chapel,55.948675,-3.191156
3613,Rosslyn Chapel,55.8554078,-3.160139
3621,George Square,55.943878,-3.190096
3663,Municipal Buildings,55.892902,-3.071869
3664,Martyrs' Monument,55.9475111,-3.1927863
3715,Douglas House,55.951187,-3.220957
3723,Crichton Castle,55.839474,-2.991563
3725,Moorfoot,55.758855,-3.119389
3728,Nether Hill,55.9425607,-3.1620707
3730,David's Tower,55.948309,-3.199216
3731,Pentland,55.872455,-3.184187
3861,Fisher's Tryst,55.8492587,-3.2007984
3870,Pleasance,55.9482,-3.1821
3909,Newlands,55.888794,-2.690644
3918,Simon Square,55.9449,-3.1827
3919,Nicolson Square,55.9459,-3.1863
3937,Lugton,55.896145,-3.081218
3938,Mission School,55.943014,-3.181856
3943,Pleasance,55.9457,-3.1815
3944,Arthur Street,55.9652,-3.1776
3951,Samson's Ribs,55.9400959,-3.1641412
3952,Duddingstone Loch,55.9410761,-3.1502924
3955,Rankeillor Street,55.9426,-3.1809
3962,Simon Square,55.944811,-3.181911
3963,Lochend,55.9621503,-3.157605
3970,South Side,55.9385275,-3.1736702
3974,Gilmerton,55.9061733,-3.1350085
3975,The Pleasance,56.006643,-2.866744
3982,Morrison Street,55.9462,-3.2155
3984,Melville Street,55.95,-3.2131
4000,Princes Street Station,55.949337,-3.208071
4040,Kirklands,55.9337,-3.2876
4052,High Park,55.9588126,-3.3282508
4098,Sciennes,55.9377415,-3.1886981
4099,Bell's Wynd,55.949776,-3.188788
4106,Kirk Loan,55.942286,-3.281166
4138,Gifford Park,55.942,-3.1831
4167,Haymarket,55.9462,-3.2172
4177,Black Hill,55.8549326,-3.2982874
4182,Cramond Island,55.994752,-3.291174
4188,Scott's Close,55.948144,-3.190339
4189,Nether Bow,55.950621,-3.184278
4190,Tollcross,55.9444904,-3.2035205
4193,Barclay Church,55.940415,-3.203455
4194,Greyfriars Kirk,55.9466769,-3.1926782
4430,Corstorphine Hill,55.952339,-3.282715
4432,Drumsheugh Gardens,55.9511806,-3.2159617
4440,Comely Bank,55.9596268,-3.2188497
4447,Cramond Bridge,55.964429,-3.317991
4451,London Road,55.955261,-3.150517
4453,The Auld Hoose,55.9435016,-3.1802683
4501,Warrender Park Terrace,55.9393,-3.1983
4503,St. Giles's Cathedral,55.9493396,-3.1905294
4526,The Lindens,55.93041,-3.506769
4556,Agricultural Hall,55.941409,-3.202877
4562,Maybury,55.9418558,-3.3195986
4616,The Town House,55.9410318,-3.2086108
4696,Freemasons' Hall,55.952276,-3.202478
4725,Blackburn,55.876219,-3.632658
4737,Regent Terrace,55.9546,-3.1766
4738,Jock's Lodge,55.9551513,-3.1497023
4847,Burns Monument,55.9534904,-3.1782952
4908,Tree of Knowledge,55.9403956,-3.2150761
4930,Board School,55.947279,-3.205365
4946,South Clerk Street,55.94,-3.1802
4968,Abercromby Place,55.9566,-3.1961
5107,Park Road,55.9785,-3.1963
5111,Charles Street,55.9447,-3.1878
5152,Royal Infirmary of Edinburgh,55.921925,-3.135095
5169,Newbattle Abbey,55.880649,-3.070524
5170,Melville Castle,55.894469,-3.091917
5185,Royal College of Physicians,55.954896,-3.196473
5187,Gillespie's Hospital,55.940094,-3.204982
5188,Royal Society of Edinburgh,55.953386,-3.196522
5195,Hermitage of Braid,55.9193911,-3.1912338
5203,Rutland Square,55.948988,-3.2090231
5218,Marlborough Street,55.9529,-3.1104
5219,William Street,55.9491,-3.2131
5235,Canon Street,55.962,-3.1984
5314,Bay of Bengal,55.9497825,-3.189168
5346,Bowling Green,55.9734,-3.1782
5359,Signet Library,55.949139,-3.191539
5361,Midlothian,55.833333,-3.083333
5362,The Old Tolbooth,55.949616,-3.191541
5559,Queen's Road,55.9589,-3.248
5656,Netherbow Port,55.950621,-3.184278
5713,Croft-An-Righ,55.9545,-3.1715
5714,Silvermills,55.9593,-3.2041
5726,Redford,55.9082164,-3.2464447
5741,Seafield,55.9657155,-3.1401622
5777,Horse Wynd,55.9522,-3.1739
5821,Greenlaw,55.897965,-2.814456
6049,Inch House,55.924991,-3.158966
6118,Inveresk,55.935359,-3.032894
6119,Abbeyhill,55.9517911,-3.1736045
6179,Rutland Hotel,55.9498559,-3.207907
6194,Abbey Hotel,55.9567428,-3.1799413
6202,Abercorn,55.989794,-3.484182
6213,Old Bank,55.957363,-2.775982
6240,Surgeons' Hall,55.946741,-3.184916
6244,Gladstone Terrace,55.9387,-3.1853
6246,Palmerston Place,55.9483,-3.217
6253,East Mayfield,55.9344,-3.1714
6254,Little King Street,55.955082,-3.18831
6255,Park Terrace,55.9341,-3.0886
6258,Forrest Road,55.9458,-3.1911
6260,Gilmore Place,55.9413,-3.208
6299,Canon Gate,55.9515,-3.1793
6301,Queen Mary's Room,55.948067,-3.19924
6309,Tollbooth,55.949616,-3.191541
6310,Rosslyn Castle,55.8525274,-3.1599823
6385,Star and Garter Hotel,55.976629,-3.59634
6420,Riding School,55.944614,-3.183666
6577,Crown Hotel,55.986065,-2.656202
6641,London Road,55.957233,-3.177725
6650,The Peel,55.978749,-3.598511
6724,Moss Cottage,55.95355,-3.109884
6739,Royal Crescent,55.9598,-3.1964
6745,Victoria Street,55.9487,-3.1932
6775,Northumberland Street,55.9568,-3.1994
6911,Bothwell Castle,55.957386,-2.77515
6915,Duke Street,55.9699,-3.1694
6956,Dreadnought Hotel,55.900528,-3.642668
6985,Slateford,55.9311484,-3.2398501
6986,Cockburn Street,55.9506,-3.1898
6987,Tron Church,55.949965,-3.187833
6989,Lady Stair's Close,55.9499,-3.1938
6991,Ramsay Lane,55.9493,-3.196
6997,College Wynd,55.9485,-3.1882
6999,Regent Road,55.9536,-3.1787
7002,Waterloo Place,55.9534,-3.1887
7003,Hope Street,55.9507,-3.2082
7004,Frederick Street,55.954238,-3.201257
7013,Dalhousie Castle,55.866645,-3.078257
7015,Borthwick Castle,55.826695,-3.007361
7016,Crichton,55.833146,-2.951009
7116,Bathgate,55.901341,-3.635633
7123,Waverley Market,55.952631,-3.190958
7125,Waverley Bridge,55.951727,-3.191506
7128,Liberton Brae,55.9157,-3.1666
7129,Duddingston Loch,55.9410761,-3.1502924
7130,Dalkeith Road,55.9391,-3.1749
7131,The Doocot,55.966644,-3.251178
7140,Liberton Road,55.9205,-3.1675
7203,Victoria Dock,55.9796581,-3.1745847
7204,Douglas Hotel,55.954635,-3.191852
7211,Old Bridge,55.941361,-3.057245
7255,Arthur's Seat,55.942952,-3.160079
7258,North Castle Street,55.9532,-3.2039
7259,Chester Street,55.9497,-3.2166
7260,Manor Place,55.949,-3.2158
7266,British Linen Bank,55.954234,-3.191439
7278,Star Hotel,55.898883,-3.699634
7281,Longstone,55.9240629,-3.2620446
7360,Clifton Villa,55.974069,-3.176073
7366,Ashley Place,55.9698,-3.1849
7418,Parliament Square,55.949127,-3.19085
7449,Palace Yard,55.948107,-3.199738
7452,Bank Street,55.9495,-3.1927
7454,Trinity,55.9758345,-3.2053897
7455,Queensberry House,55.9521569,-3.1757733
7457,Duke's Walk,55.9539,-3.1591
7462,Dalhousie Castle,55.862379,-3.09132
7526,Dominican Convent,55.937316,-3.185685
7657,Rest and Be Thankful,55.9477108,-3.2639521
7761,Caledonian Hotel,55.949481,-3.207163
7883,District Court,55.977598,-3.600659
7904,West Lothian,55.916667,-3.5
7905,Palace of Holyrood House,55.9528587,-3.1703442
7906,Royal Circus,55.9565,-3.2041
7907,Drummond Place,55.9582,-3.195
7933,Town House,55.9410318,-3.2086108
7977,Prince's Street,55.9518,-3.1985
7978,County Buildings,55.95513,-2.780934
8137,Skateraw,55.971939,-2.427744
8138,Broxmouth,55.988519,-2.480662
8146,Pinkie House,55.94247,-3.044147
8150,Seton,55.963502,-2.94187
8155,Hilltown,55.9197454,-3.1040176
8194,Ravelston,55.9519283,-3.2469759
8221,Haddington,55.956506,-2.786343
8244,Morrison's Close,55.950427,-3.186566
8245,Bakehouse Close,55.9509,-3.1788
8384,Linlithgow,55.976389,-3.607228
8385,City Chambers,55.950282,-3.190357
8413,Chapel Royal,55.952545,-3.171737
8465,Castlehill,55.9489,-3.1954
8492,Broomhill,55.8275485,-3.2260438
8496,Mayfield,55.9342921,-3.1739627
8498,Kirkliston,55.954176,-3.402737
8512,Ratho,55.9214987,-3.383414
8532,Jeffrey Street,55.950606,-3.186572
8544,Dominican Monastery,55.975533,-3.603987
8588,Davidson's Mains,55.9659948,-3.2789422
8589,Inverleith Row,55.9669,-3.2049
8591,Huntly Street,55.9626,-3.1995
8592,Broughton Street,55.9578,-3.189
8597,Dumbiedykes,55.9472686,-3.178441
8602,Luckenbooths,55.949755,-3.191029
8631,St Cuthbert's,55.9076063,-3.2536486
8632,Lochend Close,55.95196,-3.177949
8633,Fountain Close,55.950351,-3.185122
8640,Juniper Green,55.9030198,-3.2730931
8648,Fleshmarket,55.957466,-2.776753
8657,Buccleuch Place,55.9429,-3.1865
8658,Windmill Lane,55.9431,-3.1862
8659,Windmill Street,55.944,-3.1864
8660,Potterrow,55.9466,-3.1877
8661,Horse Wynd,55.948336,-3.189064
8662,Nicolson Street,55.9467,-3.1857
8664,St John's Hill,55.948765,-3.181871
8666,Nicolson Square,55.9461,-3.1858
8670,Brighton Street,55.9464,-3.1892
8671,Lauriston Place,55.9453,-3.191
8674,Pilrig,55.9680589,-3.1817222
8675,George Square,55.943389,-3.189553
8677,Forrest Road,55.9454,-3.1909
8678,Stevenlaw's Close,55.9489,-3.1881
8685,Marshall Street,55.9458,-3.1866
8687,Ormiston,55.883972,-3.441387
8691,Tron Kirk,55.9498788,-3.1875276
8692,The Meadows,55.9453058,-3.1909968
8695,West Nicolson Street,55.9447,-3.185
8707,West Register Street,55.9536,-3.1906
8708,York Place,55.9563,-3.1902
8710,St Andrew Square,55.9537787,-3.1937825
8712,New Street,55.9451,-3.0599
8715,Leith Walk,55.9671,-3.1748
8717,Infirmary Street,55.9482,-3.1853
8718,Blair Street,55.9492,-3.1876
8719,Niddry Street,55.9495,-3.1868
8721,Blacket Place,55.9361,-3.1743
8722,Lauder Road,55.9346,-3.1867
8725,Forres Street,55.9538,-3.2078
8726,Market Street,55.9508,-3.1915
8729,Hunter Square,55.9497,-3.1876
8732,Drummond Street,55.9478,-3.1841
8733,West Richmond Street,55.9457,-3.1831
8734,Maitland Street,55.9437,-3.0704
8737,Dick Place,55.9338,-3.1863
8740,Hill Place,55.9463,-3.1842
8742,London Road,55.956,-3.1595
8749,Leith Street,55.9548,-3.1871
8750,Buccleuch Street,55.9425,-3.1843
8752,Royal Terrace,55.9569,-3.1783
8755,Pilrig Street,55.9657,-3.1805
8759,Clerk Street,55.9423,-3.1823
8761,Elder Street,55.9555,-3.1904
8764,Potterrow,55.9458,-3.1871
8766,St Margaret's Loch,55.9517029,-3.1626167
8769,Mayfield,55.87465,-3.0376966
8770,Minto Street,55.9343,-3.1747
8775,Thistle Street,55.9543,-3.1977
8784,Bonnington,55.9713728,-3.1839339
8793,Scotland Street,55.9599,-3.1951
8795,South Gray's Close,55.9495,-3.1849
8797,Bonnington Road,55.9707,-3.1799
8798,Barony Street,55.958,-3.1911
8799,Leith Street,55.954378,-3.186847
8802,Industrial School,55.960643,-3.179991
8814,Buccleuch Street,55.892696,-3.0718
8821,East Calder,55.8947272,-3.4630602
8822,Bathgate,55.907517,-3.644212
8830,Minto Street,55.9365,-3.177
8847,Commercial Inn,55.851787,-3.569731
8851,Great King Street,55.9578,-3.1996
8852,Drummond Place,55.958565,-3.195176
8906,University of Edinburgh,55.94757,-3.181851
8920,Graham Street,55.9725,-3.1864
8921,Keir Street,55.9454,-3.1975
8959,North Queensferry,56.0100806,-3.3942239
8960,South Queensferry,55.9898274,-3.3972947
8962,Cramond Brig,55.9652866,-3.3173288
8963,Nether Bow Port,55.950621,-3.184278
8980,Cant's Close,55.950066,-3.186715
9236,Prestonfield House,55.937303,-3.158726
9285,The Shandon,55.9333493,-3.2349297
9360,Harelaw,55.979342,-2.881245
9466,The Grove,55.9408,-3.0396
9505,Candlemaker Row,55.9474,-3.1922
9513,Waterloo Place,55.9539,-3.1858
9525,Frederick Street,55.9515,-3.1995
9528,Home Farm,55.981179,-3.330502
9531,The Den,56.029338,-2.687215
9532,The White House,55.932772,-3.200256
9535,Leith Walk,55.9601,-3.1822
9836,Stenton,55.961825,-2.601426
9847,Muirhouse,55.9667115,-3.2528178
9957,The Murrays,55.886178,-2.946247
9959,Gayfield Square,55.9592164,-3.1859645
10128,St Leonard's Hill,55.9438,-3.1787
10432,House of Dean,55.952941,-3.223478
10461,Craig's Close,55.949945,-3.189914
10563,Old Manse,55.825312,-3.009432
10643,Lugton,55.897625,-3.077469
10645,Loanhead,55.8792324,-3.1477199
10646,Roslin,55.854994,-3.168479
10663,St Germains,55.957575,-2.918854
10722,Traprain,55.973297,-2.654608
10724,Blackhall,55.9575056,-3.2573799
10886,Whitelaw,55.944881,-2.698078
10912,Bridge-End,55.81875,-3.702395
11175,Niddry,55.9313817,-3.1221785
11228,Saughton,55.9297516,-3.2712758
11253,Polwarth,55.931354,-3.2279834
11330,Belhaven,56.004177,-2.518988
11375,Pinkie House,55.943695,-3.0449
11387,St Ninian's,56.00005,-2.511141
11452,Moredun,55.9136071,-3.1420507
11466,Kirkgate,55.913,-3.1609
11604,Marchmont,55.9357079,-3.1994664
11644,Bankton,55.953547,-2.951237
11656,Green Mantle,55.943894,-3.183804
11697,Charity Workhouse,55.946154,-3.191655
11752,Prestonfield,55.9396173,-3.1630777
11864,Inverleith,55.9661275,-3.214736
11917,Ashburnham,55.98749,-3.385685
11992,Belhaven,55.993743,-2.54663
12005,Fountainhall,55.898259,-2.920729
12015,Gray's Mill,55.925,-3.255277
12019,Pinkie House,55.941674,-3.041564
12039,Comely Bank,55.9586,-3.2246
12041,Rock Garden,55.9640301,-3.2055016
12044,The Tron,55.949965,-3.187833
12068,Raeburn Place,55.9591,-3.2125
12069,Dreghorn,55.894086,-3.232499
12075,River Almond,55.9782353,-3.301899
12076,Granton Harbour,55.984299,-3.222737
12084,The Grange,55.9312143,-3.1922355
12085,Grange Loan,55.9319,-3.1846
12089,Alva Street,55.9503,-3.2106
12096,Whitehouse Loan,55.936,-3.2018
12097,Queensferry Street,55.952,-3.2129
12099,North Berwick Law,56.045887,-2.715923
12101,Eton Terrace,55.9544,-3.2134
12107,Causewayside,55.9379,-3.1811
12121,Old Pentland,55.884448,-3.180715
12123,Hillend,55.883005,-3.208168
12129,Penicuik,55.8274348,-3.2212058
12137,Leith Docks,55.975912,-3.171322
12189,Embra,55.949428,-3.192704
12200,Edinburgh Road,55.9452,-3.0727
12202,Hunter's Tryst,55.9022196,-3.2209447
12239,The Hebrides,55.9508683,-3.1907539
12251,Kingsburgh House,55.9457951,-3.2413268
12265,Bonaly Tower,55.8971,-3.25871
12271,Glencorse Reservoir,55.8632911,-3.2541424
12274,Synod Hall,55.947651,-3.204048
12280,Blackford Hill,55.9230563,-3.1949734
12284,Dalkeith Road,55.9339,-3.1669
12298,Carfrae,55.918054,-2.67686
12352,Randolph Crescent,55.9523,-3.2118
12359,Murrayfield,55.9458235,-3.2474685
12360,Albany Street,55.9577,-3.1889
12361,Pitt Street,55.9734,-3.1855
12362,India Place,55.9566,-3.2089
12364,Hermiston,55.9181217,-3.3189497
12365,Queensferry Road,55.9619,-3.2836
12366,Montgomery Street,55.9594,-3.1774
12437,Glencorse,55.8554146,-3.1912281
12442,The Vennel,55.946192,-3.197005
12444,Swanston Cottage,55.89504,-3.221463
12473,Broad Law,55.776693,-3.042578
12494,North Bridge Street,55.901957,-3.643336
12500,Blinkbonny,55.8967238,-3.3009555
12502,Kirk Brae,55.9165,-3.1636
12506,Damhead,55.8771273,-3.1946047
12515,Black Bull Inn,55.947356,-3.197521
12527,Black Bull Hotel,55.955818,-2.775919
12722,Roslin Castle,55.852585,-3.160021
12724,Canongate Churchyard,55.951713,-3.179895
12740,Grange,55.991417,-3.604196
12752,Niddrie Castle,55.9538653,-3.4506925
12754,Barnbougle Castle,55.99246,-3.33424
12757,Hawes Inn,55.990346,-3.385002
12760,Winchburgh,55.9594409,-3.4588161
12773,Kirknewton,55.8893833,-3.4216614
13078,The Black Bull Inn,55.947356,-3.197521
13083,Bankhead,55.9234549,-3.3105367
13109,Bridge Inn,55.923193,-3.378828
13144,Burgh Muir,55.935023,-3.218111
