id,text,document_id,location_id,sentence_id
3185,Edinburgh,5,91,3185
3256,High Street,5,205,3256
3259,Edinburgh,5,91,3259
3264,Edinburgh,5,91,3264
3303,Edinburgh,5,91,3303
3306,High Street,5,205,3306
3307,High Street,5,205,3307
3308,High Street,5,205,3308
3333,High Street,5,205,3333
3335,High Street,5,205,3335
3341,High Street,5,205,3341
3342,Gordon Arms,5,993,3342
3384,Edinburgh,5,91,3384
3385,Edinburgh,5,91,3385
3386,Edinburgh,5,91,3386
3404,Edinburgh,5,91,3404
3405,Edinburgh,5,91,3405
3406,Edinburgh,5,91,3406
3409,Edinburgh,5,91,3409
3410,Edinburgh,5,91,3410
3412,Edinburgh,5,91,3412
3474,The Causeway,5,1013,3474
3891,Carberry,6,1068,3891
3893,St. Giles,6,202,3893
3898,Corstorphine,6,257,3898
3910,Nor Loch,6,1076,3910
3914,Lawnmarket,6,1077,3914
3915,West Bow,6,1078,3915
3916,Cowgate,6,1079,3916
3922,Nor Loch,6,1076,3922
3923,St. Giles,6,202,3923
3927,Cowgate,6,1079,3927
3929,Nor Loch,6,1076,3929
3931,Bristo Port,6,1083,3931
3932,Cowgate,6,1079,3932
3933,Cowgate,6,1079,3933
3934,Grassmarket,6,1084,3934
3935,West Bow,6,1078,3935
3936,Grassmarket,6,1084,3936
3937,Black Turnpike,6,1085,3937
3939,Embro,6,714,3939
3940,Lawnmarket,6,1077,3940
3943,Black Turnpike,6,1085,3943
3944,St. Giles',6,1087,3944
3945,St. Giles's,6,191,3945
3949,Black Turnpike,6,1085,3949
3953,Tron,6,1090,3953
3957,Lawnmarket,6,1077,3957
3959,Nor Loch,6,1076,3959
3960,St. Giles,6,202,3960
3964,Cowgate,6,1079,3964
3965,Potterrow,6,1092,3965
3966,St. Giles,6,202,3966
3971,Greyfriars,6,1093,3971
3973,Greyfriars,6,1093,3973
3975,Greyfriars,6,1093,3975
3977,St. Giles,6,202,3977
3992,Black Turnpike,6,1085,3992
4006,Tron,6,1090,4006
4007,Bristo Port,6,1083,4007
4008,Cowgate,6,1079,4008
4009,Bristo Port,6,1083,4009
4010,Bristo Port,6,1083,4010
4013,Dalkeith,6,1101,4013
4020,Bristo Port,6,1083,4020
4027,Dalkeith,6,1101,4027
4028,Dalkeith,6,1101,4028
4036,Little France,6,1102,4036
4037,Little France,6,1102,4037
4038,Little France,6,1102,4038
4039,Dalkeith,6,1101,4039
4040,Dalkeith,6,1101,4040
4041,Dalkeith,6,1101,4041
4043,Dalkeith,6,1101,4043
4044,Dalkeith,6,1101,4044
