id,text_x,document_id,location_id,text,lat,lon,title,forename,surname,pubyear,gender,genre
1220,Buckstone,1,498,Buckstone,55.9099122,-3.2113993,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
1305,Old Town,2,90,Old Town,55.9471293,-3.2002511,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1305,Old Town,2,90,Old Town,55.9471293,-3.2002511,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1280,Edinburgh,2,91,Edinburgh,55.949428,-3.192704,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1280,Edinburgh,2,91,Edinburgh,55.949428,-3.192704,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1358,Granton,2,211,Granton,55.9785756,-3.2250203,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1358,Granton,2,211,Granton,55.9785756,-3.2250203,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1312,Leith,2,212,Leith,55.9757865,-3.1680197,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1312,Leith,2,212,Leith,55.9757865,-3.1680197,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1300,Stockbridge,2,526,Stockbridge,55.957963,-3.2094115,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1300,Stockbridge,2,526,Stockbridge,55.957963,-3.2094115,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1302,Danube Street,2,527,Danube Street,55.9568,-3.212,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1302,Danube Street,2,527,Danube Street,55.9568,-3.212,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1304,Princes Street,2,528,Princes Street,55.9511,-3.2014,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1304,Princes Street,2,528,Princes Street,55.9511,-3.2014,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1337,Swanston,2,535,Swanston,55.8956657,-3.2181884,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1337,Swanston,2,535,Swanston,55.8956657,-3.2181884,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1343,Market Street,2,537,Market Street,55.942721,-3.066249,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1343,Market Street,2,537,Market Street,55.942721,-3.066249,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1345,Heriot Row,2,538,Heriot Row,55.9553,-3.2023,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1345,Heriot Row,2,538,Heriot Row,55.9553,-3.2023,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1348,Moray Place,2,539,Moray Place,55.9541541,-3.2090472,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1348,Moray Place,2,539,Moray Place,55.9541541,-3.2090472,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1368,Broughton Place,2,540,Broughton Place,55.9587,-3.1887,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1368,Broughton Place,2,540,Broughton Place,55.9587,-3.1887,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1401,Cauldhame Farm,2,544,Cauldhame Farm,55.961776,-3.583041,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1401,Cauldhame Farm,2,544,Cauldhame Farm,55.961776,-3.583041,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1404,Muirend,2,547,Muirend,55.9217611,-3.4451248,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1404,Muirend,2,547,Muirend,55.9217611,-3.4451248,"Nelly Armstrong: a story of the day, vol. 1", Sarah Robertson,Whitehead,1853-01-01,f,romance
1454,Old Town,3,90,Old Town,55.9471293,-3.2002511,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1454,Old Town,3,90,Old Town,55.9471293,-3.2002511,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1432,Edinburgh,3,91,Edinburgh,55.949428,-3.192704,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1432,Edinburgh,3,91,Edinburgh,55.949428,-3.192704,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1496,Holyrood,3,185,Holyrood,55.9498473,-3.183502,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1496,Holyrood,3,185,Holyrood,55.9498473,-3.183502,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1451,High Street,3,205,High Street,55.9501,-3.1882,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1451,High Street,3,205,High Street,55.9501,-3.1882,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1440,New Town,3,210,New Town,55.9583198,-3.1992422,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1440,New Town,3,210,New Town,55.9583198,-3.1992422,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
1455,North Bridge,3,227,North Bridge,55.9518,-3.1883,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,fiction
1455,North Bridge,3,227,North Bridge,55.9518,-3.1883,"Nelly Armstrong: a story of the day, vol. 2", Sarah Robertson,Whitehead,1853-01-01,f,romance
